src/cli/commands/swarm.ts(233,20): error TS2339: Property 'shutdown' does not exist on type 'SwarmMemory'.
src/coordination/advanced-task-executor.ts(391,9): error TS2739: Type '{ output: any; artifacts: any; metadata: any; quality: any; completeness: any; accuracy: any; executionTime: number; resourcesUsed: { memory: number; cpu: number; disk: number; network: number; }; validated: false; }' is missing the following properties from type 'TaskResult': taskId, agentId, success, timestamp
src/coordination/advanced-task-executor.ts(408,9): error TS2739: Type '{ output: string; artifacts: {}; metadata: { stderr: string; }; quality: number; completeness: number; accuracy: number; executionTime: number; resourcesUsed: { memory: number; cpu: number; disk: number; network: number; }; validated: false; }' is missing the following properties from type 'TaskResult': taskId, agentId, success, timestamp
src/hive-mind/core/Agent.ts(70,7): error TS2322: Type 'string | undefined' is not assignable to type 'string | null'.
src/hive-mind/core/Agent.ts(282,5): error TS2322: Type '{ name: string; passed: boolean; }[]' is not assignable to type 'never[]'.
src/hive-mind/core/Agent.ts(309,7): error TS2322: Type 'string' is not assignable to type 'MessageType'.
src/hive-mind/core/Agent.ts(631,54): error TS2345: Argument of type 'string' is not assignable to parameter of type 'AgentCapability'.
src/hive-mind/core/Communication.ts(21,11): error TS2564: Property 'db' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/Communication.ts(44,7): error TS2740: Type '{}' is missing the following properties from type 'Record<MessageType, number>': coordination, direct, broadcast, query, and 6 more.
src/hive-mind/core/DatabaseManager.ts(721,39): error TS2339: Property 'votes' does not exist on type '{}'.
src/hive-mind/core/DatabaseManager.ts(728,45): error TS2339: Property 'required_threshold' does not exist on type '{}'.
src/hive-mind/core/DatabaseManager.ts(769,7): error TS2698: Spread types may only be created from object types.
src/hive-mind/core/DatabaseManager.ts(770,7): error TS2698: Spread types may only be created from object types.
src/hive-mind/core/DatabaseManager.ts(771,25): error TS18046: 'agentStats' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(772,11): error TS18046: 'agentStats' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(772,35): error TS18046: 'agentStats' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(791,19): error TS18046: 'result' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(792,22): error TS18046: 'result' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(792,42): error TS18046: 'result' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(793,28): error TS18046: 'result' is of type 'unknown'.
src/hive-mind/core/DatabaseManager.ts(794,21): error TS18046: 'result' is of type 'unknown'.
src/hive-mind/core/HiveMind.ts(32,11): error TS2564: Property 'queen' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/HiveMind.ts(34,11): error TS2564: Property 'memory' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/HiveMind.ts(35,11): error TS2564: Property 'communication' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/HiveMind.ts(36,11): error TS2564: Property 'orchestrator' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/HiveMind.ts(37,11): error TS2564: Property 'consensus' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/HiveMind.ts(38,11): error TS2564: Property 'db' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/HiveMind.ts(202,7): error TS2322: Type 'string[]' is not assignable to type 'AgentCapability[]'.
src/hive-mind/core/HiveMind.ts(315,7): error TS2322: Type 'string' is not assignable to type '"healthy" | "degraded" | "critical" | "unknown"'.
src/hive-mind/core/HiveMind.ts(402,7): error TS2322: Type 'number' is not assignable to type 'boolean | undefined'.
src/hive-mind/core/HiveMind.ts(471,83): error TS2345: Argument of type 'string' is not assignable to parameter of type 'AgentCapability'.
src/hive-mind/core/Memory.ts(163,11): error TS2564: Property 'db' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/Memory.ts(164,11): error TS2564: Property 'mcpWrapper' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/Memory.ts(262,55): error TS7053: Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{}'.
src/hive-mind/core/Memory.ts(1192,34): error TS2339: Property 'size' does not exist on type 'HighPerformanceCache<any>'.
src/hive-mind/core/Memory.ts(1253,37): error TS2488: Type 'HighPerformanceCache<any>' must have a '[Symbol.iterator]()' method that returns an iterator.
src/hive-mind/core/Memory.ts(1268,20): error TS2339: Property 'size' does not exist on type 'HighPerformanceCache<any>'.
src/hive-mind/core/Memory.ts(1270,45): error TS2339: Property 'entries' does not exist on type 'HighPerformanceCache<any>'.
src/hive-mind/core/Memory.ts(1271,25): error TS18046: 'a' is of type 'unknown'.
src/hive-mind/core/Memory.ts(1271,57): error TS18046: 'b' is of type 'unknown'.
src/hive-mind/core/Memory.ts(1275,18): error TS2488: Type 'unknown' must have a '[Symbol.iterator]()' method that returns an iterator.
src/hive-mind/core/MemoryMonitor.ts(324,36): error TS2339: Property 'healthCheck' does not exist on type 'DatabaseManager'.
src/hive-mind/core/MemoryMonitor.ts(622,36): error TS2339: Property 'healthCheck' does not exist on type 'DatabaseManager'.
src/hive-mind/core/Queen.ts(35,11): error TS2564: Property 'db' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/Queen.ts(36,11): error TS2564: Property 'mcpWrapper' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/core/Queen.ts(221,35): error TS2345: Argument of type 'string' is not assignable to parameter of type 'AgentCapability'.
src/hive-mind/core/Queen.ts(622,11): error TS18046: 'performance' is of type 'unknown'.
src/hive-mind/integration/ConsensusEngine.ts(21,11): error TS2564: Property 'db' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/integration/ConsensusEngine.ts(22,11): error TS2564: Property 'mcpWrapper' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/integration/ConsensusEngine.ts(113,38): error TS2551: Property 'getConsensusProposal' does not exist on type 'DatabaseManager'. Did you mean 'createConsensusProposal'?
src/hive-mind/integration/ConsensusEngine.ts(336,19): error TS2339: Property 'updateConsensusStatus' does not exist on type 'DatabaseManager'.
src/hive-mind/integration/ConsensusEngine.ts(364,19): error TS2339: Property 'updateConsensusStatus' does not exist on type 'DatabaseManager'.
src/hive-mind/integration/ConsensusEngine.ts(511,47): error TS2551: Property 'getRecentConsensusProposals' does not exist on type 'DatabaseManager'. Did you mean 'createConsensusProposal'?
src/hive-mind/integration/ConsensusEngine.ts(515,21): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/hive-mind/integration/ConsensusEngine.ts(516,18): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/hive-mind/integration/ConsensusEngine.ts(520,35): error TS7006: Parameter 'a' implicitly has an 'any' type.
src/hive-mind/integration/ConsensusEngine.ts(520,38): error TS7006: Parameter 'b' implicitly has an 'any' type.
src/hive-mind/integration/ConsensusEngine.ts(550,20): error TS2339: Property 'prepare' does not exist on type 'DatabaseManager'.
src/hive-mind/integration/ConsensusEngine.ts(554,13): error TS2339: Property 'prepare' does not exist on type 'DatabaseManager'.
src/hive-mind/integration/ConsensusEngine.ts(559,20): error TS2339: Property 'prepare' does not exist on type 'DatabaseManager'.
src/hive-mind/integration/SwarmOrchestrator.ts(23,11): error TS2564: Property 'db' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/integration/SwarmOrchestrator.ts(24,11): error TS2564: Property 'mcpWrapper' has no initializer and is not definitely assigned in the constructor.
src/hive-mind/integration/SwarmOrchestrator.ts(93,18): error TS7006: Parameter 'phase' implicitly has an 'any' type.
src/hive-mind/integration/SwarmOrchestrator.ts(138,17): error TS2339: Property 'error' does not exist on type '{ taskId: string; plan: ExecutionPlan; startTime: number; currentPhase: number; phaseResults: never[]; status: string; }'.
src/hive-mind/integration/SwarmOrchestrator.ts(264,39): error TS18048: 'task' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(294,41): error TS18048: 'task' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(513,69): error TS2345: Argument of type 'string' is not assignable to parameter of type 'AgentCapability'.
src/hive-mind/integration/SwarmOrchestrator.ts(559,13): error TS18048: 'agentState' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(565,19): error TS18048: 'task' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(565,44): error TS18048: 'task' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(682,60): error TS7006: Parameter 'r' implicitly has an 'any' type.
src/hive-mind/integration/SwarmOrchestrator.ts(700,31): error TS2341: Property 'id' is private and only accessible within class 'HiveMind'.
src/hive-mind/integration/SwarmOrchestrator.ts(712,62): error TS2341: Property 'id' is private and only accessible within class 'HiveMind'.
src/hive-mind/integration/SwarmOrchestrator.ts(771,31): error TS2341: Property 'id' is private and only accessible within class 'HiveMind'.
src/hive-mind/integration/SwarmOrchestrator.ts(784,31): error TS2341: Property 'id' is private and only accessible within class 'HiveMind'.
src/hive-mind/integration/SwarmOrchestrator.ts(788,15): error TS18048: 'task' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(837,15): error TS18048: 'task' is possibly 'undefined'.
src/hive-mind/integration/SwarmOrchestrator.ts(840,30): error TS18048: 'task' is possibly 'undefined'.
src/integration/system-integration.ts(150,30): error TS2554: Expected 3 arguments, but got 0.
src/integration/system-integration.ts(177,29): error TS2554: Expected 4 arguments, but got 2.
src/integration/system-integration.ts(195,11): error TS2554: Expected 0-1 arguments, but got 3.
src/integration/system-integration.ts(230,11): error TS2554: Expected 0-2 arguments, but got 3.
src/integration/system-integration.ts(261,24): error TS2554: Expected 4 arguments, but got 2.
src/integration/system-integration.ts(277,26): error TS2554: Expected 3-9 arguments, but got 1.
src/integration/system-integration.ts(351,34): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(351,51): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(351,65): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(356,44): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(356,64): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(357,34): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(357,64): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(362,48): error TS18046: 'event' is of type 'unknown'.
src/integration/system-integration.ts(362,66): error TS18046: 'event' is of type 'unknown'.
src/mcp/claude-code-wrapper.ts(248,24): error TS2339: Property 'output' does not exist on type 'never'.
src/mcp/claude-code-wrapper.ts(679,34): error TS2304: Cannot find name 'executeSparcMode'.
src/mcp/client.ts(36,9): error TS2345: Argument of type 'MCPConfig | {}' is not assignable to parameter of type 'MCPConfig'.
src/mcp/client.ts(104,37): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'string'.
src/mcp/client.ts(108,32): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'string'.
src/mcp/client.ts(115,48): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'string'.
src/mcp/client.ts(118,37): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'string'.
src/mcp/client.ts(122,25): error TS2769: No overload matches this call.
src/mcp/client.ts(128,48): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'string'.
src/mcp/client.ts(131,37): error TS2345: Argument of type 'string | number' is not assignable to parameter of type 'string'.
src/mcp/index.ts(108,35): error TS2304: Cannot find name 'MCPOrchestrationConfig'.
src/mcp/index.ts(109,26): error TS2304: Cannot find name 'OrchestrationComponents'.
src/mcp/index.ts(111,15): error TS2304: Cannot find name 'MCPOrchestrationIntegration'.
src/mcp/index.ts(114,29): error TS2304: Cannot find name 'MCPOrchestrationIntegration'.
src/mcp/index.ts(150,13): error TS2304: Cannot find name 'MCPServer'.
src/mcp/index.ts(151,24): error TS2304: Cannot find name 'MCPLifecycleManager'.
src/mcp/index.ts(152,26): error TS2304: Cannot find name 'MCPPerformanceMonitor'.
src/mcp/index.ts(162,24): error TS2552: Cannot find name 'MCPServer'. Did you mean 'server'?
src/mcp/index.ts(164,27): error TS2304: Cannot find name 'MCPLifecycleManager'.
src/mcp/index.ts(165,29): error TS2304: Cannot find name 'MCPPerformanceMonitor'.
src/mcp/index.ts(168,30): error TS2304: Cannot find name 'MCPLifecycleManager'.
src/mcp/index.ts(176,32): error TS2304: Cannot find name 'MCPPerformanceMonitor'.
src/mcp/index.ts(190,13): error TS2304: Cannot find name 'MCPServer'.
src/mcp/index.ts(191,23): error TS2304: Cannot find name 'MCPLifecycleManager'.
src/mcp/index.ts(192,25): error TS2304: Cannot find name 'MCPPerformanceMonitor'.
src/mcp/index.ts(193,22): error TS2304: Cannot find name 'MCPProtocolManager'.
src/mcp/index.ts(211,33): error TS2304: Cannot find name 'MCPProtocolManager'.
src/mcp/integrate-wrapper.ts(69,44): error TS2345: Argument of type 'string' is not assignable to parameter of type '{ [x: string]: unknown; name: string; _meta?: { [x: string]: unknown; progressToken?: string | number | undefined; } | undefined; arguments?: { [x: string]: unknown; } | undefined; }'.
src/mcp/mcp-server.ts(56,11): error TS2300: Duplicate identifier 'store'.
src/mcp/mcp-server.ts(56,11): error TS2416: Property 'store' in type 'MockEnhancedMemory' is not assignable to the same property in base type 'EnhancedMemoryStore'.
src/mcp/mcp-server.ts(62,9): error TS2300: Duplicate identifier 'store'.
src/mcp/mcp-server.ts(62,9): error TS2416: Property 'store' in type 'MockEnhancedMemory' is not assignable to the same property in base type 'EnhancedMemoryStore'.
src/mcp/mcp-server.ts(168,14): error TS2323: Cannot redeclare exported variable 'ClaudeFlowMCPServer'.
src/mcp/mcp-server.ts(178,5): error TS2322: Type 'MockEnhancedMemory' is not assignable to type 'EnhancedMemoryStore'.
src/mcp/mcp-server.ts(761,9): error TS2322: Type 'MemoryStoreResult | MemoryRetrieveResult | MemoryListResult | MemorySearchResult | { success: false; error: string; timestamp: string; }' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(820,9): error TS2322: Type 'PatternRecognitionResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(839,9): error TS2322: Type 'CognitiveAnalysisResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(862,9): error TS2322: Type 'LearningAdaptationResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(886,9): error TS2322: Type 'ModelCompressionResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(906,9): error TS2322: Type 'EnsembleCreationResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(924,9): error TS2322: Type 'TransferLearningResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(949,9): error TS2322: Type 'NeuralExplanationResult' is not assignable to type 'MCPToolExecutionResult'.
src/mcp/mcp-server.ts(1294,10): error TS2323: Cannot redeclare exported variable 'ClaudeFlowMCPServer'.
src/mcp/mcp-server.ts(1294,10): error TS2484: Export declaration conflicts with exported declaration of 'ClaudeFlowMCPServer'.
src/mcp/ruv-swarm-tools.ts(15,18): error TS2430: Interface 'RuvSwarmToolContext' incorrectly extends interface 'MCPContext'.
src/mcp/ruv-swarm-tools.ts(562,9): error TS2741: Property 'logger' is missing in type '{ workingDirectory: string; sessionId: string; }' but required in type 'RuvSwarmToolContext'.
src/mcp/server-with-wrapper.ts(20,23): error TS2339: Property 'default' does not exist on type 'typeof import("/Users/lanemc/sites/repo-claude-flow/claude-flow/src/mcp/server", { with: { "resolution-mode": "import" } })'.
src/mcp/server-with-wrapper.ts(21,20): error TS2339: Property 'default' does not exist on type 'typeof import("/Users/lanemc/sites/repo-claude-flow/claude-flow/src/mcp/server", { with: { "resolution-mode": "import" } })'.
src/mcp/server.ts(588,17): error TS2322: Type '{ workingDirectory: string; sessionId: string; swarmId: string; agentId?: string; logger?: ILogger | undefined; }' is not assignable to type 'RuvSwarmToolContext'.
src/mcp/server.ts(595,47): error TS2345: Argument of type 'RuvSwarmToolContext' is not assignable to parameter of type 'MCPContext'.
src/mcp/server.ts(611,27): error TS7006: Parameter 'error' implicitly has an 'any' type.
src/mcp/server.ts(645,18): error TS2554: Expected 3-9 arguments, but got 1.
src/mcp/server.ts(647,14): error TS2352: Conversion of type 'string' to type 'MCPProtocolVersion' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
src/mcp/session-manager.ts(54,5): error TS2322: Type 'Timeout' is not assignable to type 'number'.
src/memory/backends/markdown.ts(119,33): error TS18048: 'e.tags' is possibly 'undefined'.
